CCODE,CNAME,VENDOR_NO,WORK_ORDER,WO_FROM_DATE,WO_TO_DATE,CVALUE,DURATION,CDURATION,EIC_PRNO,EIC,JOB_DESC,DEPARTMENT,EMPLOYEE_COUNT,CLRA,ISMW,WORKMEN_TOT,EXCESS_CLRA_COUNT,EXCESS_CLRA_CONT_COUNT,STATUS
CT0039,BUDHAGURU SEAL,,CC004820/FOA-3,2021-06-03,,NULL,365,NULL,2235,Mr. MOHAN K,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0039,BUDHAGURU SEAL,,CC005221,2021-04-12,2021-05-05,,undefined,1,,SANKAR D M,MAINTENANCE OF NEUTRALISATION STORAGE TANK,MAINTENANCE,NULL,15,4,19,NULL,NULL,1
CT0660,STERLING AND WILSON PVT LIMITED,,CC006618-FOA,2020-12-31,,NULL,731,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,125,5,NULL,NULL,NULL,1
CT0990,DEVI FABRICATIONS AND ENGINEERING CONTRACTORS,,CC008119,2021-09-19,,NULL,731,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,60,NULL,NULL,NULL,NULL,1
CT1145,SOUTHERM ENGINEERS & CORROSION CONTROLS,,CC011719,2020-12-09,,NULL,30,NULL,4139,Mr. KAMARAJ S,MAINTENANCE,MAINTENANCE,NULL,15,4,NULL,NULL,NULL,1
CT1095,S PRINCE HIGHTECH PRIVATE LIMITED,,CC011719/FOA-1,2021-11-10,,NULL,365,NULL,4139,Mr. KAMARAJ S,MAINTENANCE,MAINTENANCE,NULL,19,4,NULL,NULL,NULL,1
CT0941,ANISH INFRASTRUCTURE(COIMBATORE)PVT LTD,13218981,CC012219,2019-11-14,2021-11-12,19811503,2,24,3069,PREMCHANDMr. KRISHNARAJ T,MAINTENANCE,MAINT-OFFSITE(CIVIL)MAINTENANCE,NULL,14,5,NULL,NULL,NULL,1
CT0346,VENDIGGE ENGINEERING PROJECTS PRIVATE LIMITED,,CC012219 VEN,2021-11-13,,NULL,731,NULL,3069,Mr. KRISHNARAJ T,MAINTENANCE,MAINTENANCE,NULL,55,45,NULL,NULL,NULL,1
CT1146,ADMIN-SRI KAUVERY MEDICAL CARE (INDIA) LTD.,,CC012420,2020-12-10,,NULL,30,NULL,4030,DR. VIJAY ANAND R,GENERAL,GENERAL,NULL,15,4,NULL,NULL,NULL,1
CT0029,SNEHAM ENTERPRISES,,CC012718-FOA-1,2021-01-28,,NULL,731,NULL,NULL,Mr. PALANIVEL M,MAINTENANCE,MAINTENANCE,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0463,INTERTEK INDIA PVT LTD,,CC013118,2020-12-20,,NULL,733,NULL,2768,Mr. THIRUMARAISELVAN S R,OPERATION,OPERATION,NULL,19,5,NULL,NULL,NULL,1
CT1149,NEUBERG EHRLICH LABORATORY PVT LTD,,CC013420,2020-12-16,,NULL,30,NULL,3652,Dr. SYED IBRAHIM A R,GENERAL,GENERAL,NULL,15,4,NULL,NULL,NULL,1
CT1052,K.P.K ENTERPRISES,,CC013719,2021-09-03,,NULL,731,NULL,2909,Mr. KSHIR SAGAR RM,GENERAL,GENERAL,NULL,14,5,NULL,NULL,NULL,1
CT1159,GREEN HOURS ,,CC015320/FOA,2020-09-28,,,44102,45197,,,,MAINTENANCE,,,,,,,1
CT0517,abcd,,CC016518,2021-11-17,2021-04-13,,2,,,,GENERAL,GENERAL,NULL,15,4,,NULL,NULL,1
CT0931,ADMIN-PRR TRAVELS,,CC016518-FOA,2021-11-30,,NULL,1096,NULL,NULL,Mr. RAMESH K,GENERAL,GENERAL,NULL,19,NULL,NULL,NULL,NULL,1
CT0149,TECHSOL ENGINEERING SERVICES INDIA (P) LTD,,CC017918,2021-04-22,,NULL,731,NULL,3152,Mr. ELANCHELIAN A,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT1185,M S ENTERPRISES,,CC0183.20,2021-03-15,2024-03-14,,3,36,,undefined,ONLINE LEAK SEALING,MAINTANANCE,NULL,15,4,19,NULL,NULL,1
CT0633,T&C ENGINEERS PVT LTD,,CC018618,2021-03-12,,NULL,731,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,46,NULL,NULL,NULL,NULL,1
CT0636,RICE LAKE WEIGHING SYSTEMS INDIA LIMITED,,CC021119/FOA,2021-05-27,,NULL,365,NULL,3069,Mr. KRISHNARAJ T,MAINTENANCE,MAINTENANCE,NULL,45,5,NULL,NULL,NULL,1
CT1054,PERAMAWELD PRIVATE LIMITED,,CC022418,2021-08-19,,NULL,730,NULL,3817,Mr. KISHOR BABU T,OPERATION,OPERATION,NULL,19,5,NULL,NULL,NULL,1
CT0057,SRI SARVAMANGALA FABRICATION,,CC024119/FOA,2020-12-14,,NULL,183,NULL,4139,Mr. KAMARAJ S,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT1175,"GLOBAL ENVIRO SYSTEM	",,CHE/057002190036/TVS/SS/SR,2021-04-19,2021-06-30,,undefined,2,,MANOVA JEEVADOS D,,PROJECT,NULL,15,4,19,NULL,NULL,1
CT0572,MKTG-MANALI INDUSTRIES ASSOCIATION,,CPCL APPROVAL 1,2021-02-23,,NULL,94,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT1130,STERLING AND WILSON PVT LIMITED- RMS COOLING EQUIPERS,,CPCL/GR-C/S&W/001,2021-01-17,,NULL,122,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,19,4,NULL,NULL,NULL,1
CT1064,EIL-THERMAL SYSTEMS - CARBORUNDAM- PACIFIC REFRACTORIES LTD.,,CSRPO/001187/19,2020-12-31,2021-06-30,NULL,23,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,5,19,NULL,NULL,NULL,1
CT0550,IOCL-DIVYA DHARSHINI TRANSPORT,,DIVYA DHARSHINI,2021-04-29,,NULL,119,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,55,55,NULL,NULL,NULL,1
CT1144,EXCEL ENVIRONMENTAL TECHNOLOGIES-J.DHAKSHANI ENTERPRISES,,EETPL-001/2020-21,2021-12-27,,NULL,418,NULL,12345,Mr. BALAKRISHNAN L,MAINTENANCE,MAINTENANCE,NULL,15,4,NULL,NULL,NULL,1
CT1108,EIL-LAKSHMI TRAVELS,,EIL-A927/541/2020-01,2020-12-31,2021-06-30,NULL,59,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT0933,S P CONTROLS,,EPCC/CPCL/RLNG/209/LOA,2021-03-29,2021-08-28,,undefined,5,,,INSTRUMENTATION WORK,INSTRUMENTATION,NULL,15,4,19,NULL,NULL,1
CT0473,IOCL-K GAJJALAIAH & CO,,GAJALLIAH,2021-06-30,,NULL,181,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,50,150,NULL,NULL,NULL,1
CT1117,GULF ENGINEERING-V G ENTERPRISES,,GECPL/CPCL/24016,2021-12-21,,NULL,478,NULL,2432,Mr. RAJA M,MAINTENANCE,MAINTENANCE,NULL,1,NULL,NULL,NULL,NULL,1
CT0433,ADMIN-S K ENGINEERING,,HRD:06:007,2021-04-30,,NULL,120,NULL,3187,SUBRAMANI S,MAINTENANCE,MAINTENANCE,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0765,IOCL-INTERTEK INDIA PVT LTD,,IIT-24653344,2020-12-31,,NULL,30,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,14,5,NULL,NULL,NULL,1
CT0081,IOCL-J.M.C. CONSTRUCTION PVT. LTD.,,IOC JMC TRANS,2020-12-31,,NULL,178,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,50,50,NULL,NULL,NULL,1
CT0396,IOCL-SRI PACHIAMMAN TRANSPORT,,IOC PACHAIAMMAN,2021-04-20,,NULL,160,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0693,IOCL- DILIP BUILCON LTD,,IOCL/282830,2021-02-08,,NULL,91,NULL,12345,Mr. BALAKRISHNAN L,OTHERS,OTHERS,NULL,19,5,NULL,NULL,NULL,1
CT1119,IOCL-MANUEL CORREYA ENGINEERING,,IOCL-MANUEL,2021-03-05,,NULL,21,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,7,NULL,NULL,NULL,NULL,1
CT1056,IOCL-S.S.INDUSTRIES,,IOCL-SS,2020-12-04,,NULL,157,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,19,NULL,NULL,NULL,NULL,1
CT0478,IOCL-MADHAVI TRANSPORT CONTRACTORS,,IOCMADHAVI,2021-04-29,,NULL,145,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0538,IOCL-MAHATHA PETROLEUM PRIVATE LIMITED,,IOCMAHATHA,2020-12-31,,NULL,120,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0524,IOCL-SRI MALARKODI TRANSPORTS,,IOCMALARKODI,2021-02-28,,NULL,8,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,50,NULL,NULL,NULL,1
CT0487,IOCL-PREMIER ASPHALT TRANSPORT,,IOCPREMIER,2021-06-30,,NULL,181,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0522,IOCL-SRI PRIYANKA TRANSPORT,,IOCPRIYANKA,2020-12-31,,NULL,105,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,40,NULL,NULL,NULL,NULL,1
CT0519,IOCL-RAJ PETRO SPECIALITIES P LTD,,IOCRAJ,2021-05-04,,NULL,93,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0488,IOCL-RKTC LOGISTICS PVT LTD,,IOCRKTC,2021-03-07,,NULL,90,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,30,10,NULL,NULL,NULL,1
CT0504,IOCL-SREE SELVALAKSHMI TRANSPORT,,IOCSELVALAKSHMI,2020-12-31,,NULL,123,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0564,IOCL-SRI VARI TRANSPORT,,IOCSRIVARI,2021-05-30,,NULL,114,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0568,IOCL-SRI VENKATESWARA TRANSPORTS,,IOC-VENKATESHWARA,2020-12-05,,NULL,181,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,14,36,NULL,NULL,NULL,1
CT0745,EIL-TUAMAN ENGINEERING LIMITED,,JP/A927-000-PK-TN-3003/1015/FOA/3011,2021-04-01,2021-06-30,NULL,123,3,3237,HARIDASSMr. ILANGO R,PROJECTS,PROJECTSPROJECTS,NULL,500,355,NULL,NULL,NULL,1
CT1076,EIL-TUAMAN- SRI LAKHSMI CONSTRUCTION COMPANY,,JP/A927-000-PK-TN-3003/1015/FOA/3011-ETC,2020-12-31,2021-06-30,NULL,32,NULL,3133,Mr. ARUMUGAM N,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT0834,EIL-TUAMAN-SAI ENGINEERING,,JP/A927-000-PK-TN-3003/1015/FOA/3011-ETG,2021-01-31,2021-06-30,NULL,94,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT0873,EIL-TUAMAN -J.S.ENTERPRISES,,JP/A927-000-PK-TN-3003/1015/FOA/3011-ETJ,2021-01-31,2021-06-30,NULL,92,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT0877,EIL-TUAMAN-SRI GURU ENTERPRISES,,JP/A927-000-PK-TN-3003/1015/FOA/3011-TST,2021-01-31,2021-06-30,NULL,101,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT0942,EIL-ORIENTAL EPC PVT. LTD.,,JP/A927-400-PC-TN-8720/1016/FOA/3013-EOE,2021-03-01,2021-06-30,NULL,122,4,3237,HARIDASSMr. ILANGO R,PROJECTS,PROJECTSPROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT1190,"TPL-MARKETING	",,MARKETING,2021-04-21,2021-07-20,,undefined,3,,B BALAKRISHNA KUMAR,TPL,MARKETING,NULL,15,4,19,NULL,NULL,1
CT0552,ADMIN-MRL INDUSTRIAL COOP,,MRLICOOP,2021-11-30,,NULL,275,NULL,2305,Mr. RAMESH S,OTHERS,OTHERS,NULL,19,NULL,NULL,NULL,NULL,1
CT1001,EIL-MX SYSTEMS INTERNATIONAL PVT LTD-SHRI SAI ENTERPRISES,,MXS/CPCL-MANALI/SKA/90019094,2021-01-31,2021-06-30,NULL,153,NULL,3116,Mr. ARUNA VIVEKANANDAN A,PROJECTS,PROJECTS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0530,ADMIN-G.JAYABALAN,,NOMINATION,2021-02-01,,NULL,32,NULL,2446,Mr. BASKARAN R,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0503,ADMIN-ELUMALAI ELECTRICALS,,NOMINATION PO,2020-12-31,,NULL,92,NULL,2645,Mr. RAMESH K,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0543,ADMIN-SAI KIRAN ARTS,,NOMINATION WORK,2021-02-18,,NULL,49,NULL,2645,Mr. RAMESH K,OTHERS,OTHERS,NULL,14,5,NULL,NULL,NULL,1
CT1153,EIL-ORIENTAL EPC-APRA INFRA PROJECTS,,OEPC/WO/19-20/C314/M/6013,2020-12-31,2021-06-30,NULL,30,NULL,3116,Mr. ARUNA VIVEKANANDAN A,PROJECTS,PROJECTS,NULL,15,4,NULL,NULL,NULL,1
CT1092,EIL-EMERSON PROCESS-SRI JAISHANTH AUTOMATION & ENGINEERING SOLUTIONS,,OW 84144082,2021-01-31,2021-06-30,NULL,55,NULL,3673,Mr. VIKAS CHOUKSE,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT1136,EIL-EMCOP ENGINEERING & ASSOCIATES,,RCM/A133-000-ST-TN-8061/8061,2021-01-23,2021-06-30,NULL,92,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,15,5,NULL,NULL,NULL,1
CT0928,EIL-P S CONSTRUCTION PVT LTD,,RCM/A927-000-000-DS-TN-8307/0012,2021-01-31,2021-06-30,NULL,92,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,110,90,NULL,NULL,NULL,1
CT0577,EIL-SRI ATCHAYA ENGINEERING P LTD,,RCM/A927-000-19-42-DS-TN/8313/012,2021-04-23,2021-06-30,NULL,123,3,3237,P JEEVANKUMARMr. ILANGO R,PROJECTS,PROJECTSPROJECTS,NULL,200,150,NULL,NULL,NULL,1
CT0032,EIL-BANU CONSTRUCTIONS,,RCM/A927-000-19-42-DS-TN-8312/0019,2021-01-31,2021-06-30,NULL,54,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,150,100,NULL,NULL,NULL,1
CT0928,EIL-P S CONSTRUCTION PVT LTD,,RCM/A927-000-19-42-DS-TN-8324/8329,2021-01-31,2021-06-30,NULL,123,NULL,3125,Mr. HARIDASS R,PROJECTS,PROJECTS,NULL,40,60,NULL,NULL,NULL,1
CT1123,EIL-ATLAS COPCO INDIA LTD-A.F ENTERPRISES,,RCM/A927-000-19-42-DS-TN-8328-AAF,2020-12-31,2021-06-30,NULL,24,NULL,3035,Mr. SADAGOPAN S,PROJECTS,PROJECTS,NULL,19,4,NULL,NULL,NULL,1
CT1139,EIL-SHILPI ENGINEERING PVT. LTD.,,RCM/A927-000-19-42-DS-TN-8330/8332,2020-09-24,2021-06-30,NULL,0.9,10,3237,Mr. ILANGO RMr. ILANGO R,PROJECTS,PROJECTSPROJECTS,NULL,100,80,NULL,NULL,NULL,1
CT1116,EIL-AEMS ENGINEERING WORKS PVT LTD,,RCM/A927-000-19-42-DS-TN-8331/8330-AEW,2021-01-31,2021-06-30,NULL,43,NULL,3035,Mr. SADAGOPAN S,PROJECTS,PROJECTS,NULL,75,50,NULL,NULL,NULL,1
CT1101,EIL-SHAJI KURIACHAN SECURITY AGENCY,,RCM/A927-000-541-DS-TN-8323/025-SKS,2021-01-31,2021-06-30,NULL,153,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,19,NULL,NULL,NULL,NULL,1
CT1136,EIL-EMCOP ENGINEERING & ASSOCIATES,,RCM/A927-000-541-ST-TN-8332/8333,2021-01-31,2021-06-30,NULL,116,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT0057,SRI SARVAMANGALA FABRICATION,,RCM/A927-000-541-ST-TN-8336,2021-04-02,2022-04-02,,undefined,12,,PURUSHOTAMAN,,PROJECT,NULL,15,4,19,NULL,NULL,1
CT0032,EIL-BANU CONSTRUCTIONS,,RCM/A927-000-DS-TN-8308/0013,2020-12-31,2021-06-30,NULL,92,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,19,4,NULL,NULL,NULL,1
CT1003,EIL-MOSS ENGINEERING PRIVATE LIMITED,,RCM/A927-000-DS-TN-8311/011-EMO,2021-04-30,2021-06-30,NULL,177,3,3237,S SADAGOPAN/JEEVANKUMARMr. ILANGO R,PROJECTS,PROJECTSPROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT0581,EIL-SANDHYA ENTERPRISES,,RCM/A927-000-DS-TN-8314/020,2020-12-30,2021-06-30,NULL,61,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,50,45,NULL,NULL,NULL,1
CT1080,EIL-CENTURY INDUSTRIES,,RCM/A927-000-DS-TN-8318/23,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT0704,EIL-SRI LAKSHMI CONSTRUCTION COMPANY,,RCM/A927-000DS-TN-8321/2032,2021-01-31,2021-06-30,NULL,62,NULL,2743,Mr. MURALIRAJA K,PROJECTS,PROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT0493,IOCL-INSPECTORATE GRIFFITH INDIA P LTD,,SH/2016-17/LT-02/WO-2A,2021-12-31,,NULL,364,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0937,IOCL-PATRIC JOHN SECURITY AGENCY,,SRCC/LT/144/TNS0/2018-19,2021-01-31,,NULL,92,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,19,NULL,NULL,NULL,NULL,1
CT0495,IOCL-G S VISWANATHAN,,SRCC/PT/004/TNSO/2019-20,2021-03-14,,NULL,73,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,10,NULL,NULL,NULL,NULL,1
CT0536,IOCL-SRI BALAJI TRANSPORT-AP,,SRI BALAJI AP,2021-02-02,,NULL,85,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,50,50,NULL,NULL,NULL,1
CT0555,ADMIN-SRI LAKSHMI AMMAN TEMPLE,,SRIAMMAN,2021-02-13,,NULL,44,NULL,3075,Mr. DHARMARAJ A,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0467,IOCL-S S TRANSPORT,,SST TRANS,2021-04-24,,NULL,114,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0446,IOCL-MARINE CONSULTANTS AND SURVEYORS PVT LTD,,TNSO/OPS/MARINE SURVEY/PT-06,2021-04-30,,NULL,180,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,150,NULL,NULL,NULL,NULL,1
CT1157,VASU CHEMICAL LTD CHEMTECH SYSYTEMS AND CHEMICALS ,,VC/HO/4255/2019-20,2020-12-15,,,44180,44331,,,,PROJECTS,,,,,,,1
CT0505,IOCL-VINORA INDUSTRIES,,VINORA,2021-03-31,,NULL,90,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0539,IOCL-JPL PRODUCTS LTD,,ZC5813,2021-03-31,,NULL,90,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,19,NULL,NULL,NULL,NULL,1
CT0844,SUMIT ENGINEERING WORKS,11926887,26725362,2020-12-22,2021-12-21,8543224.35,1,12,,M BALAJI,MAINT-ONSITE,MAINT-ONSITE,,,,,,,1
CT0510,THERMO FISHER SCIENTIFIC,10252322,26443965,2020-08-16,2025-08-15,11283363,5,60,,A ELANCHELIAN,MAINT-(INSTRUMENTS),MAINT-(INSTRUMENTS),,,,,,,1
CT0774,ADMIN-SUN CABS,10268772,26419270,2020-05-11,2023-05-10,9865598.08,3,36,,RAMESH,ADMIN,ADMIN,,,,,,,1
CT0454,TRICKY FIRE CONTROLS,10274869,26701908,2020-12-09,2021-06-06,797400,,6,,S KARTHIKEYAN,MAINT-(INSTRUMENTS),MAINT-(INSTRUMENTS),,,,,,,1
CT0041,A.G. CONSTRUCTION,11923068,26803946,2021-02-04,2021-10-01,11271800,,8,,K KAMARAJ,PROJECT-III(CIVIL),PROJECT-III(CIVIL),,,,,,,1
CT1136,EIL-EMCOP ENGINEERING & ASSOCIATES,,RCM/A927-000-541-ST-TN-8332/8333/AN-01,2020-10-10,2021-06-30,,1.5,18,,,PROJECTS-(BS-VI),PROJECTS-(BS-VI),,,,,,,1
CT0844,SUMIT ENGINEERING WORKS,,26840052,2021-02-22,2021-08-21,1676514.36,,6,,K MOHAN,MAINT-(FIELD-II/REF-III),MAINT-(FIELD-II/REF-III),,,,,,,1
CT0921,J.S ENTERPRISE,13216365,26757782,2021-01-09,2022-01-08,1554148,1,12,,SIRAJUDDIN,PROJECTS-II_(MECH),PROJECTS-II_(MECH),,,,,,,1
CT1100,ADMIN-SUN LIGHT TRAVELS,13216564,26793728,2021-01-30,2025-01-28,2880036.15,4,48,,RAMESH,ADMIN,ADMIN,,,,,,,1
CT0397,SURYA PIPES & EQUIPMENTS,10291667,26576087,2020-09-19,2021-08-18,379555.54,1,12,,JEYAKUMAR/ SRIDHAR,MAINT-(OFFSITE & I),MAINT-(OFFSITE & I),,,,,,,1
CT0845,ATHENA ENGINEERS,11947083,26659423,2020-11-10,2021-11-09,416820,3,36,,SUMER SINGH MEENA,MAINT-(MECH),MAINT-(MECH),,,,,,,1
CT0697,S.MAHADEVAN CONTRACTOR,11030961,26753062,2021-01-06,2021-12-22,2700000,1,12,,P KANNAPAN,MAINT-CIVIL,MAINT-CIVIL,,,,,,,1
CT0921,J.S ENTERPRISE,13216365,26757782,2021-09-01,2022-01-08,,1,12,,PURUSHOTHAM,PROJECTS-(MECH/M & C),PROJECTS-(MECH/M & C),,,,,,,1
CT0952,MCOG ENGINEERING & FABRICATION PVT LTD,,26293515,2021-03-22,2021-06-22,,,3,,P MATHIAZHAGAN,"MAINT-(FIELD-II/REF- I ,II/LEB&DHDS)","MAINT-(FIELD-II/REF- I ,II/LEB&DHDS)",,,,,,,1
CT0060,FRANKLIN IME TECHS PVT. LTD.,11920950,26563201,2020-09-11,2022-09-10,1771090,2,24,,J KARTHIKEYAN,OTHERS-IT & S,OTHERS-IT & S,,,,,,,1
CT0977,S L ENGINEERING (SLG CHENNAI),13216139,26204132,2019-11-26,2021-11-24,2689650,2,24,,MARI RAJAN,MAINT-(GARAGE/TOOL ROOM),MAINT-(GARAGE/TOOL ROOM),,,,,,,1
CT1160,ARUNTECH INDUSTRICAL SERVICES PRIVATE LIMITED ,,CC016420/FOA 1,2020-12-28,2021-12-27,1364767.5,1,12,,V VIVEK RAJ,OTHERS-(INSPECTION),OTHERS-(INSPECTION),,,,,,,1
CT0122,EMMAI ENGINEERING WORKS,,CPCL/PMC/T-042/2020-21/LOA,2021-05-10,2022-05-09,1183865.4,1,12,,M VIJAYARAJ,PROJECTS-(R & D),PROJECTS-(R & D),,,,,,,1
CT0921,J.S ENTERPRISE,13216365,26983992,2021-05-08,2022-05-07,1673415,1,12,,G GNANA PRAKSH,PROJECTS-CIVIL,PROJECTS-CIVIL,,,,,,,1
CT0494,SRI GANAPATHY ENTERPRISES,11947528,26984499,2021-05-08,2022-05-07,1171054.98,1,12,,GOWTHAM,PROJECTS-INSTRUMENTS,PROJECTS-INSTRUMENTS,,,,,,,1
CT1182,ETA ENGINEERING PVT LTD,10268540,26960074,2021-04-21,2021-06-19,3037670.16,,2,,RAMESH BABU,MAINT-ELECTRICAL,MAINT-ELECTRICAL,,,,,,,1
CT1118,JN MACHINERIES PRIVATE LIMITED,11941474,26875545,2021-03-12,2024-03-10,3723065.04,3,36,,R MARIRAJAN,MAINT-(GARAGE/TOOL ROOM),MAINT-(GARAGE/TOOL ROOM),,,,,,,1
CT0163,SRI ATCHAYA ENGINEERING PVT. LTD.,11961567,26948310,2021-04-15,2024-04-13,190067998,3,36,,T KRISHNARAJ,MAINT-OFFSITE,MAINT-OFFSITE,,,,,,,1
CT0910,EIL-SRI GURU TRAVELS,,A927/19/40/CPCL/C0301/3936,2021-02-01,2021-06-30,,1,12,,C DURAIYARASAN,PROJECTS,PROJECTS,,,,,,,1
